iter	Passed	Remaining
0	66	66060
1	75	37464
2	84	28047
3	94	23626
4	104	20775
5	113	18766
6	121	17289
7	130	16215
8	139	15358
9	148	14694
10	157	14171
11	165	13665
12	174	13252
13	183	12937
14	192	12639
15	201	12362
16	209	12108
17	219	11962
18	228	11798
19	236	11598
20	244	11413
21	254	11296
22	262	11152
23	271	11031
24	280	10922
25	288	10817
26	296	10702
27	304	10575
28	314	10523
29	323	10467
30	333	10418
31	341	10329
32	350	10264
33	359	10214
34	369	10184
35	379	10152
36	387	10091
37	395	10017
38	405	9990
39	415	9968
40	425	9963
41	436	9957
42	447	9970
43	458	9962
44	468	9935
45	476	9886
46	486	9862
47	494	9813
48	504	9789
49	514	9769
50	523	9741
51	531	9692
52	541	9676
53	549	9635
54	558	9594
55	568	9586
56	577	9560
57	587	9544
58	597	9531
59	607	9521
60	617	9510
61	627	9496
62	636	9467
63	646	9460
64	656	9441
65	665	9413
66	675	9401
67	685	9390
68	697	9410
69	716	9522
70	725	9498
71	735	9484
72	745	9469
73	752	9421
74	761	9392
75	771	9374
76	780	9357
77	789	9335
78	799	9317
79	807	9281
80	816	9266
81	826	9248
82	834	9220
83	843	9199
84	852	9177
85	861	9160
86	870	9136
87	879	9118
88	888	9091
89	896	9064
90	906	9055
91	915	9035
92	923	9004
93	932	8987
94	943	8992
95	953	8977
96	963	8970
97	973	8955
98	982	8942
99	992	8929
100	1001	8914
101	1010	8894
102	1020	8883
103	1029	8869
104	1038	8852
105	1047	8835
106	1056	8820
107	1065	8801
108	1075	8792
109	1088	8805
110	1100	8815
111	1113	8827
112	1126	8843
113	1138	8847
114	1150	8852
115	1162	8855
116	1174	8860
117	1186	8867
118	1197	8868
119	1208	8865
120	1220	8863
121	1231	8860
122	1242	8861
123	1251	8842
124	1260	8823
125	1270	8810
126	1279	8795
127	1288	8781
128	1298	8765
129	1308	8755
130	1317	8742
131	1327	8728
132	1336	8714
133	1346	8701
134	1355	8684
135	1364	8667
136	1374	8656
137	1383	8642
138	1394	8640
139	1404	8624
140	1413	8612
141	1421	8591
142	1431	8579
143	1441	8571
144	1451	8559
145	1462	8552
146	1472	8541
147	1482	8532
148	1492	8522
149	1501	8508
150	1513	8507
151	1522	8495
152	1532	8481
153	1540	8464
154	1550	8452
155	1559	8439
156	1569	8427
157	1579	8415
158	1588	8402
159	1597	8387
160	1606	8373
161	1615	8358
162	1624	8343
163	1633	8328
164	1643	8314
165	1651	8298
166	1660	8284
167	1670	8273
168	1681	8269
169	1691	8258
170	1702	8251
171	1711	8240
172	1721	8231
173	1731	8220
174	1741	8208
175	1750	8196
176	1759	8182
177	1769	8173
178	1780	8166
179	1790	8158
180	1800	8148
181	1810	8138
182	1821	8130
183	1830	8118
184	1839	8102
185	1848	8089
